0,100	180003,840	7216,000
-0,100	180003,840	8067,000
0,200	180003,840	7427,000
-0,200	180004,864	8076,000
0,300	180004,864	7650,000
-0,300	180003,840	8311,000
0,400	180003,840	7731,000
-0,400	180003,840	8233,000
0,500	180003,840	7986,000
-0,500	180003,840	8520,000
0,600	180003,840	8106,000
-0,600	180003,840	8302,000
0,700	180004,864	8392,000
-0,700	180006,912	8399,000
0,800	180004,864	8352,000
-0,800	180004,864	8463,000
0,900	180004,864	8387,000
-0,900	180004,864	8580,000
1,000	180004,864	8417,000
-1,000	180004,864	8735,000
1,100	180004,864	8592,000
-1,100	180003,840	8635,000
